Umur (minggu),Perusahaan,Jenis,Konsumsi (g/hari),Konsumsi (g/minggu),Konsumsi/(BB^0.75) (g/minggu),Bobot badan (g),Bobot badan^0.75 (g),Konsumsi Kalsium/BB^0.75 (g/minggu),Konsumsi fosfor tersedia/BB^0.75 (g/minggu),Konsumsi fosfor/BB^0.75 (g/minggu)
2,Hendrix-genetics,Isa white,14,98,28.91,132,38.94,0.31,0.14,0.22
3,Hendrix-genetics,Isa white,21,147,38.94,203,53.78,0.42,0.19,0.29
4,Hendrix-genetics,Isa white,27,189,46.33,277,67.9,0.46,0.19,0.32
5,Hendrix-genetics,Isa white,32,224,51.6,355,81.78,0.52,0.22,0.36
6,Hendrix-genetics,Isa white,37,259,56.68,436,95.41,0.57,0.24,0.4
7,Hendrix-genetics,Isa white,42,294,61.63,518,108.58,0.62,0.26,0.43
8,Hendrix-genetics,Isa white,49,343,69.25,602,121.53,0.69,0.29,0.48
9,Hendrix-genetics,Isa white,53,371,72.49,686,134.04,0.69,0.26,0.42
10,Hendrix-genetics,Isa white,56,392,74.42,770,146.17,0.71,0.27,0.43
11,Hendrix-genetics,Isa white,59,413,76.41,853.5,157.91,0.73,0.28,0.44
12,Hendrix-genetics,Isa white,62,434,78.45,936.5,169.29,0.75,0.28,0.46
13,Hendrix-genetics,Isa white,65,455,80.58,1016.5,180.02,0.77,0.29,0.47
14,Hendrix-genetics,Isa white,68,476,82.76,1094.5,190.29,0.79,0.3,0.48
15,Hendrix-genetics,Isa white,71,497,85,1169,199.92,0.81,0.31,0.49
16,Hendrix-genetics,Isa white,74,518,87.29,1240,208.96,0.83,0.31,0.51
17,Hendrix-genetics,Isa white,78,546,90.82,1306.5,217.31,1.86,0.38,0.59
18,Hendrix-genetics,Isa white,85,595,97.84,1367.5,224.88,2.01,0.41,0.64
19,Hendrix-genetics,Isa white,93,651,105.99,1423,231.69,2.17,0.45,0.69
20,Hendrix-genetics,Isa white,99,728,117.53,1472,237.65,2.41,0.49,0.76
21,Hendrix-genetics,Isa white,104,728,116.71,1514,242.71,2.39,0.49,0.76
22,Hendrix-genetics,Isa white,108,756,120.53,1548,246.79,2.47,0.51,0.78
23,Hendrix-genetics,Isa white,110,770,122.36,1568,249.18,2.51,0.51,0.8
24,Hendrix-genetics,Isa white,110,770,122,1587,251.44,2.5,0.51,0.79
25,Hendrix-genetics,Isa white,111,777,122.85,1600,252.98,2.52,0.52,0.8
26,Hendrix-genetics,Isa white,111,777,122.63,1612,254.4,2.51,0.52,0.8
27,Hendrix-genetics,Isa white,111,777,122.42,1623,255.7,2.51,0.51,0.8
28,Hendrix-genetics,Isa white,112,784,123.33,1633,256.89,2.53,0.52,0.8
29,Hendrix-genetics,Isa white,112,784,123.14,1643,258.06,2.52,0.52,0.8
30,Hendrix-genetics,Isa white,112,784,122.97,1652,259.12,2.52,0.52,0.8
31,Hendrix-genetics,Isa white,113,791,123.9,1661,260.18,2.54,0.52,0.81
32,Hendrix-genetics,Isa white,113,791,123.75,1669,261.12,2.54,0.52,0.8
33,Hendrix-genetics,Isa white,113,791,123.63,1676,261.94,2.53,0.52,0.8
34,Hendrix-genetics,Isa white,113,791,123.5,1683,262.76,2.53,0.52,0.8
35,Hendrix-genetics,Isa white,113,791,123.39,1689,263.46,2.53,0.52,0.8
1,Hendrix-genetics,Shaver brown,11,77,27.12,65,22.89,0.29,0.13,0.2
2,Hendrix-genetics,Shaver brown,17,119,35.07,132.5,39.05,0.38,0.17,0.26
3,Hendrix-genetics,Shaver brown,25,175,45.97,210,55.17,0.49,0.22,0.34
4,Hendrix-genetics,Shaver brown,32,224,54.03,295.5,71.27,0.54,0.23,0.38
5,Hendrix-genetics,Shaver brown,37,259,58.36,388,87.42,0.58,0.25,0.41
6,Hendrix-genetics,Shaver brown,42,294,62.65,485,103.35,0.63,0.26,0.44
7,Hendrix-genetics,Shaver brown,46,322,65.49,584.5,118.87,0.65,0.28,0.46
8,Hendrix-genetics,Shaver brown,50,350,68.39,686,134.04,0.68,0.29,0.48
9,Hendrix-genetics,Shaver brown,54,378,71.37,787,148.59,0.68,0.26,0.41
10,Hendrix-genetics,Shaver brown,58,406,74.4,887,162.53,0.71,0.27,0.43
11,Hendrix-genetics,Shaver brown,61,427,76.23,984.5,175.76,0.72,0.27,0.44
12,Hendrix-genetics,Shaver brown,64,448,78.17,1079,188.26,0.74,0.28,0.45
13,Hendrix-genetics,Shaver brown,67,469,80.21,1169,199.92,0.76,0.29,0.47
14,Hendrix-genetics,Shaver brown,70,490,82.33,1254.5,210.79,0.78,0.3,0.48
15,Hendrix-genetics,Shaver brown,73,511,84.55,1334.5,220.79,0.8,0.3,0.49
16,Hendrix-genetics,Shaver brown,76,532,86.85,1408,229.85,0.83,0.31,0.5
17,Hendrix-genetics,Shaver brown,79,553,89.23,1475,238.01,1.83,0.37,0.58
18,Hendrix-genetics,Shaver brown,84,588,93.92,1536.5,245.41,1.93,0.39,0.61
19,Hendrix-genetics,Shaver brown,89,623,99.52,1536,245.35,2.04,0.42,0.65
20,Hendrix-genetics,Shaver brown,96,714,113.07,1590,251.8,2.32,0.47,0.73
21,Hendrix-genetics,Shaver brown,102,714,112.23,1638,257.48,2.3,0.47,0.73
22,Hendrix-genetics,Shaver brown,108,756,118.28,1669,261.12,2.42,0.5,0.77
23,Hendrix-genetics,Shaver brown,111,777,121.01,1700,264.75,2.48,0.51,0.79
24,Hendrix-genetics,Shaver brown,111,777,120.69,1718,266.85,2.47,0.51,0.78
25,Hendrix-genetics,Shaver brown,111,777,120.41,1734,268.71,2.47,0.51,0.78
26,Hendrix-genetics,Shaver brown,111,777,120.17,1748,270.34,2.46,0.5,0.78
27,Hendrix-genetics,Shaver brown,111,777,119.93,1762,271.96,2.46,0.5,0.78
28,Hendrix-genetics,Shaver brown,111,777,119.72,1774,273.35,2.45,0.5,0.78
29,Hendrix-genetics,Shaver brown,111,777,119.54,1785,274.62,2.45,0.5,0.78
30,Hendrix-genetics,Shaver brown,111,777,119.37,1795,275.77,2.45,0.5,0.78
31,Hendrix-genetics,Shaver brown,111,777,119.22,1804,276.81,2.44,0.5,0.77
32,Hendrix-genetics,Shaver brown,111,777,119.08,1813,277.84,2.44,0.5,0.77
33,Hendrix-genetics,Shaver brown,111,777,118.96,1820,278.65,2.44,0.5,0.77
34,Hendrix-genetics,Shaver brown,111,777,118.85,1827,279.45,2.44,0.5,0.77
35,Hendrix-genetics,Shaver brown,111,777,118.73,1834,280.25,2.43,0.5,0.77
1,Hendrix-genetics,Shaver brown light,10,70,24.38,68,23.68,0.26,0.12,0.18
2,Hendrix-genetics,Shaver brown light,18,126,39.89,99.5,31.5,0.43,0.19,0.3
3,Hendrix-genetics,Shaver brown light,25,175,44.55,238,60.59,0.48,0.21,0.33
4,Hendrix-genetics,Shaver brown light,31,217,50.74,334.5,78.22,0.51,0.21,0.36
5,Hendrix-genetics,Shaver brown light,37,259,56.61,438,95.74,0.57,0.24,0.4
6,Hendrix-genetics,Shaver brown light,42,294,60.79,547,113.11,0.61,0.26,0.43
7,Hendrix-genetics,Shaver brown light,46,322,63.54,659.5,130.14,0.64,0.27,0.44
8,Hendrix-genetics,Shaver brown light,50,350,66.38,773,146.6,0.66,0.28,0.46
9,Hendrix-genetics,Shaver brown light,54,378,69.26,887,162.53,0.66,0.25,0.4
10,Hendrix-genetics,Shaver brown light,58,406,72.2,1000,177.83,0.69,0.26,0.42
11,Hendrix-genetics,Shaver brown light,61,427,73.97,1110.5,192.37,0.7,0.27,0.43
12,Hendrix-genetics,Shaver brown light,64,448,75.84,1217.5,206.11,0.72,0.27,0.44
13,Hendrix-genetics,Shaver brown light,67,469,77.81,1320,218.99,0.74,0.28,0.45
14,Hendrix-genetics,Shaver brown light,70,490,79.87,1416.5,230.89,0.76,0.29,0.46
15,Hendrix-genetics,Shaver brown light,73,511,82.02,1506.5,241.81,0.78,0.3,0.48
16,Hendrix-genetics,Shaver brown light,76,532,84.24,1590.5,251.85,0.8,0.3,0.49
17,Hendrix-genetics,Shaver brown light,79,553,86.55,1666.5,260.83,1.77,0.36,0.56
18,Hendrix-genetics,Shaver brown light,85,595,92.21,1734,268.71,1.89,0.39,0.6
19,Hendrix-genetics,Shaver brown light,94,658,101.1,1794,275.66,2.07,0.42,0.66
20,Hendrix-genetics,Shaver brown light,104,777,118.56,1845,281.51,2.43,0.5,0.77
21,Hendrix-genetics,Shaver brown light,111,777,117.89,1887,286.3,2.42,0.5,0.77
22,Hendrix-genetics,Shaver brown light,112,784,118.42,1921,290.17,2.43,0.5,0.77
23,Hendrix-genetics,Shaver brown light,113,791,119.09,1946,292.99,2.44,0.5,0.77
24,Hendrix-genetics,Shaver brown light,114,798,119.89,1963,294.91,2.46,0.5,0.78
25,Hendrix-genetics,Shaver brown light,115,805,120.72,1977,296.49,2.47,0.51,0.78
26,Hendrix-genetics,Shaver brown light,115,805,120.51,1991,298.06,2.47,0.51,0.78
27,Hendrix-genetics,Shaver brown light,116,812,121.36,2004,299.52,2.49,0.51,0.79
28,Hendrix-genetics,Shaver brown light,116,812,121.2,2015,300.75,2.48,0.51,0.79
29,Hendrix-genetics,Shaver brown light,117,819,122.07,2026,301.98,2.5,0.51,0.79
30,Hendrix-genetics,Shaver brown light,117,819,121.92,2036,303.1,2.5,0.51,0.79
31,Hendrix-genetics,Shaver brown light,118,826,122.83,2045,304.1,2.52,0.52,0.8
32,Hendrix-genetics,Shaver brown light,118,826,122.71,2053,304.99,2.52,0.52,0.8
33,Hendrix-genetics,Shaver brown light,118,826,122.59,2061,305.89,2.51,0.51,0.8
34,Hendrix-genetics,Shaver brown light,119,833,123.53,2068,306.66,2.53,0.52,0.8
35,Hendrix-genetics,Shaver brown light,119,833,123.44,2074,307.33,2.53,0.52,0.8
1,Hendrix-genetics,Shaver white,7,49,17.29,64.5,22.76,0.19,0.08,0.13
2,Hendrix-genetics,Shaver white,13,91,27.03,128.5,38.17,0.29,0.13,0.2
3,Hendrix-genetics,Shaver white,19,133,35.5,197,52.58,0.38,0.17,0.27
4,Hendrix-genetics,Shaver white,25,175,43.19,269.5,66.51,0.43,0.18,0.3
5,Hendrix-genetics,Shaver white,30,210,48.71,345.5,80.14,0.49,0.2,0.34
6,Hendrix-genetics,Shaver white,34,238,52.46,423.5,93.36,0.52,0.22,0.37
7,Hendrix-genetics,Shaver white,39,273,57.63,503.5,106.29,0.58,0.24,0.4
8,Hendrix-genetics,Shaver white,42,294,59.77,585.5,119.03,0.6,0.25,0.42
9,Hendrix-genetics,Shaver white,46,322,63.35,667.5,131.32,0.6,0.23,0.37
10,Hendrix-genetics,Shaver white,49,343,65.55,749.5,143.24,0.62,0.24,0.38
11,Hendrix-genetics,Shaver white,52,364,67.8,831,154.77,0.64,0.24,0.39
12,Hendrix-genetics,Shaver white,55,385,70.08,911,165.82,0.67,0.25,0.41
13,Hendrix-genetics,Shaver white,58,406,72.4,989,176.36,0.69,0.26,0.42
14,Hendrix-genetics,Shaver white,60,420,73.53,1064.5,186.36,0.7,0.26,0.43
15,Hendrix-genetics,Shaver white,63,441,75.94,1137.5,195.87,0.72,0.27,0.44
16,Hendrix-genetics,Shaver white,66,462,78.4,1206,204.65,0.74,0.28,0.45
17,Hendrix-genetics,Shaver white,69,483,80.91,1270,212.74,1.66,0.34,0.53
18,Hendrix-genetics,Shaver white,74,518,85.79,1329,220.11,1.76,0.36,0.56
19,Hendrix-genetics,Shaver white,80,560,91.83,1383,226.79,1.88,0.39,0.6
20,Hendrix-genetics,Shaver white,86,644,104.73,1430,232.54,2.15,0.44,0.68
21,Hendrix-genetics,Shaver white,92,644,103.99,1471,237.53,2.13,0.44,0.68
22,Hendrix-genetics,Shaver white,97,679,109.01,1505,241.63,2.23,0.46,0.71
23,Hendrix-genetics,Shaver white,101,707,113.14,1525,244.04,2.32,0.48,0.74
24,Hendrix-genetics,Shaver white,102,714,113.96,1541,245.95,2.34,0.48,0.74
25,Hendrix-genetics,Shaver white,102,714,113.7,1555,247.63,2.33,0.48,0.74
26,Hendrix-genetics,Shaver white,103,721,114.58,1568,249.18,2.35,0.48,0.74
27,Hendrix-genetics,Shaver white,103,721,114.36,1580,250.61,2.34,0.48,0.74
28,Hendrix-genetics,Shaver white,103,721,114.14,1592,252.03,2.34,0.48,0.74
29,Hendrix-genetics,Shaver white,104,728,115.07,1602,253.22,2.36,0.48,0.75
30,Hendrix-genetics,Shaver white,104,728,114.91,1611,254.29,2.36,0.48,0.75
31,Hendrix-genetics,Shaver white,104,728,114.64,1626,256.06,2.35,0.48,0.75
32,Hendrix-genetics,Shaver white,104,728,114.52,1633,256.89,2.35,0.48,0.74
33,Hendrix-genetics,Shaver white,105,735,115.52,1639,257.59,2.37,0.49,0.75
34,Hendrix-genetics,Shaver white,105,735,115.43,1644,258.18,2.37,0.48,0.75
35,Hendrix-genetics,Shaver white,105,735,115.43,1644,258.18,2.37,0.48,0.75
1,Lohmann tierzucht,Lohmann brown classic,11,77,26.17,75,25.49,0.27,0.13,0.2
2,Lohmann tierzucht,Lohmann brown classic,17,119,35.24,130,38.5,0.37,0.17,0.26
3,Lohmann tierzucht,Lohmann brown classic,22,154,41.21,195,52.18,0.43,0.2,0.31
4,Lohmann tierzucht,Lohmann brown classic,28,196,48.13,275,67.53,0.48,0.22,0.34
5,Lohmann tierzucht,Lohmann brown classic,35,245,55.98,367,83.85,0.56,0.25,0.39
6,Lohmann tierzucht,Lohmann brown classic,41,287,61.48,475,101.75,0.61,0.28,0.43
7,Lohmann tierzucht,Lohmann brown classic,47,329,66.95,583,118.65,0.67,0.3,0.47
8,Lohmann tierzucht,Lohmann brown classic,51,357,69.78,685,133.9,0.7,0.31,0.49
9,Lohmann tierzucht,Lohmann brown classic,55,385,72.8,782,147.88,0.66,0.27,0.42
10,Lohmann tierzucht,Lohmann brown classic,58,406,74.67,874,160.74,0.67,0.28,0.43
11,Lohmann tierzucht,Lohmann brown classic,60,420,75.43,961,172.6,0.68,0.28,0.44
12,Lohmann tierzucht,Lohmann brown classic,64,448,78.83,1043,183.53,0.71,0.29,0.46
13,Lohmann tierzucht,Lohmann brown classic,65,455,78.6,1123,193.99,0.71,0.29,0.46
14,Lohmann tierzucht,Lohmann brown classic,68,476,80.93,1197,203.5,0.73,0.3,0.47
15,Lohmann tierzucht,Lohmann brown classic,70,490,82.18,1264,211.99,0.74,0.3,0.48
16,Lohmann tierzucht,Lohmann brown classic,71,497,82.3,1330,220.24,0.74,0.3,0.48
17,Lohmann tierzucht,Lohmann brown classic,72,504,82.39,1400,228.87,1.65,0.37,0.54
18,Lohmann tierzucht,Lohmann brown classic,75,525,84.72,1475,238.01,1.69,0.38,0.55
19,Lohmann tierzucht,Lohmann brown classic,81,567,90.29,1555,247.63,1.81,0.41,0.59
20,Lohmann tierzucht,Lohmann brown classic,93,700,110,1640,257.71,2.2,0.49,0.71
21,Lohmann tierzucht,Lohmann brown classic,100,700,108.84,1711,266.03,2.18,0.49,0.71
22,Lohmann tierzucht,Lohmann brown classic,106,742,114.08,1790,275.19,2.28,0.51,0.74
23,Lohmann tierzucht,Lohmann brown classic,110,770,117.73,1830,279.79,2.35,0.53,0.77
24,Lohmann tierzucht,Lohmann brown classic,113,791,120.29,1870,284.37,2.41,0.54,0.78
25,Lohmann tierzucht,Lohmann brown classic,114,798,121.11,1885,286.08,2.42,0.54,0.79
26,Lohmann tierzucht,Lohmann brown classic,114,798,120.87,1900,287.78,2.42,0.54,0.79
27,Lohmann tierzucht,Lohmann brown classic,114,798,120.79,1905,288.35,2.42,0.54,0.79
28,Lohmann tierzucht,Lohmann brown classic,114,798,120.69,1911,289.03,2.41,0.54,0.78
29,Lohmann tierzucht,Lohmann brown classic,114,798,120.63,1915,289.49,2.41,0.54,0.78
30,Lohmann tierzucht,Lohmann brown classic,114,798,120.55,1920,290.05,2.41,0.54,0.78
31,Lohmann tierzucht,Lohmann brown classic,114,798,120.51,1923,290.39,2.41,0.54,0.78
32,Lohmann tierzucht,Lohmann brown classic,115,805,121.53,1925,290.62,2.43,0.55,0.79
33,Lohmann tierzucht,Lohmann brown classic,115,805,121.48,1928,290.96,2.43,0.55,0.79
34,Lohmann tierzucht,Lohmann brown classic,115,805,121.44,1931,291.3,2.43,0.55,0.79
35,Lohmann tierzucht,Lohmann brown classic,115,805,121.41,1933,291.52,2.43,0.55,0.79
1,Lohmann tierzucht,Lohmann brown lite,11,77,26.17,75,25.49,0.27,0.13,0.2
2,Lohmann tierzucht,Lohmann brown lite,17,119,35.59,125,37.38,0.37,0.17,0.27
3,Lohmann tierzucht,Lohmann brown lite,22,154,41.48,190,51.18,0.44,0.2,0.31
4,Lohmann tierzucht,Lohmann brown lite,28,196,48.35,270,66.61,0.48,0.22,0.34
5,Lohmann tierzucht,Lohmann brown lite,35,245,56.25,360,82.65,0.56,0.25,0.39
6,Lohmann tierzucht,Lohmann brown lite,40,280,60.3,465,100.14,0.6,0.27,0.42
7,Lohmann tierzucht,Lohmann brown lite,46,322,65.9,570,116.66,0.66,0.3,0.46
8,Lohmann tierzucht,Lohmann brown lite,50,350,68.79,670,131.69,0.69,0.31,0.48
9,Lohmann tierzucht,Lohmann brown lite,54,378,71.87,765,145.46,0.65,0.27,0.42
10,Lohmann tierzucht,Lohmann brown lite,57,399,73.79,855,158.12,0.66,0.27,0.43
11,Lohmann tierzucht,Lohmann brown lite,59,413,74.59,940,169.76,0.67,0.28,0.43
12,Lohmann tierzucht,Lohmann brown lite,63,441,78.03,1020,180.49,0.7,0.29,0.45
13,Lohmann tierzucht,Lohmann brown lite,64,448,77.83,1098,190.74,0.7,0.29,0.45
14,Lohmann tierzucht,Lohmann brown lite,67,469,80.17,1171,200.18,0.72,0.3,0.47
15,Lohmann tierzucht,Lohmann brown lite,69,483,81.46,1236,208.46,0.73,0.3,0.47
16,Lohmann tierzucht,Lohmann brown lite,70,490,81.59,1301,216.62,0.73,0.3,0.47
17,Lohmann tierzucht,Lohmann brown lite,71,497,81.71,1369,225.06,1.63,0.37,0.53
18,Lohmann tierzucht,Lohmann brown lite,74,518,84.05,1443,234.13,1.68,0.38,0.55
19,Lohmann tierzucht,Lohmann brown lite,80,560,89.67,1521,243.55,1.79,0.4,0.58
20,Lohmann tierzucht,Lohmann brown lite,92,700,110.61,1604,253.46,2.21,0.5,0.72
21,Lohmann tierzucht,Lohmann brown lite,100,700,109.45,1673,261.59,2.19,0.49,0.71
22,Lohmann tierzucht,Lohmann brown lite,106,742,114.71,1751,270.69,2.29,0.52,0.75
23,Lohmann tierzucht,Lohmann brown lite,110,770,118.38,1790,275.19,2.37,0.53,0.77
24,Lohmann tierzucht,Lohmann brown lite,113,791,120.95,1829,279.68,2.42,0.54,0.79
25,Lohmann tierzucht,Lohmann brown lite,114,798,121.78,1844,281.4,2.44,0.55,0.79
26,Lohmann tierzucht,Lohmann brown lite,114,798,121.55,1858,283,2.43,0.55,0.79
27,Lohmann tierzucht,Lohmann brown lite,114,798,121.46,1863,283.57,2.43,0.55,0.79
28,Lohmann tierzucht,Lohmann brown lite,114,798,121.37,1869,284.25,2.43,0.55,0.79
29,Lohmann tierzucht,Lohmann brown lite,114,798,121.3,1873,284.71,2.43,0.55,0.79
30,Lohmann tierzucht,Lohmann brown lite,114,798,121.22,1878,285.28,2.42,0.55,0.79
31,Lohmann tierzucht,Lohmann brown lite,114,798,121.17,1881,285.62,2.42,0.55,0.79
32,Lohmann tierzucht,Lohmann brown lite,115,805,122.2,1883,285.85,2.44,0.55,0.79
33,Lohmann tierzucht,Lohmann brown lite,115,805,122.15,1886,286.19,2.44,0.55,0.79
34,Lohmann tierzucht,Lohmann brown lite,115,805,122.11,1889,286.53,2.44,0.55,0.79
35,Lohmann tierzucht,Lohmann brown lite,115,805,122.07,1891,286.76,2.44,0.55,0.79
1,Lohmann tierzucht,Lohmann brown NA,11,77,26.17,75,25.49,0.27,0.13,0.2
2,Lohmann tierzucht,Lohmann brown NA,17,119,35.59,125,37.38,0.37,0.17,0.27
3,Lohmann tierzucht,Lohmann brown NA,22,154,41.48,190,51.18,0.44,0.2,0.31
4,Lohmann tierzucht,Lohmann brown NA,28,196,48.35,270,66.61,0.48,0.22,0.34
5,Lohmann tierzucht,Lohmann brown NA,33,231,53.03,360,82.65,0.53,0.24,0.37
6,Lohmann tierzucht,Lohmann brown NA,38,266,57.37,462,99.65,0.57,0.26,0.4
7,Lohmann tierzucht,Lohmann brown NA,42,294,60.3,565,115.89,0.6,0.27,0.42
8,Lohmann tierzucht,Lohmann brown NA,46,322,63.41,665,130.95,0.63,0.29,0.44
9,Lohmann tierzucht,Lohmann brown NA,49,343,65.33,760,144.75,0.59,0.24,0.38
10,Lohmann tierzucht,Lohmann brown NA,52,364,67.41,850,157.42,0.61,0.25,0.39
11,Lohmann tierzucht,Lohmann brown NA,55,385,69.62,935,169.09,0.63,0.26,0.4
12,Lohmann tierzucht,Lohmann brown NA,58,406,71.93,1015,179.82,0.65,0.27,0.42
13,Lohmann tierzucht,Lohmann brown NA,61,427,74.26,1093,190.09,0.67,0.27,0.43
14,Lohmann tierzucht,Lohmann brown NA,64,448,76.67,1166,199.54,0.69,0.28,0.44
15,Lohmann tierzucht,Lohmann brown NA,67,469,79.18,1231,207.82,0.71,0.29,0.46
16,Lohmann tierzucht,Lohmann brown NA,70,490,81.67,1296,216,0.74,0.3,0.47
17,Lohmann tierzucht,Lohmann brown NA,73,511,84.08,1364,224.45,2.1,0.38,0.55
18,Lohmann tierzucht,Lohmann brown NA,77,539,87.53,1438,233.52,2.19,0.39,0.57
19,Lohmann tierzucht,Lohmann brown NA,81,567,90.87,1516,242.95,2.27,0.41,0.59
20,Lohmann tierzucht,Lohmann brown NA,86,700,110.75,1596,252.51,2.77,0.5,0.72
21,Lohmann tierzucht,Lohmann brown NA,100,700,109.53,1668,261,2.74,0.49,0.71
22,Lohmann tierzucht,Lohmann brown NA,106,742,114.92,1738,269.18,2.87,0.52,0.75
23,Lohmann tierzucht,Lohmann brown NA,110,770,118.56,1779,273.93,2.96,0.53,0.77
24,Lohmann tierzucht,Lohmann brown NA,113,791,121.19,1815,278.07,3.03,0.55,0.79
25,Lohmann tierzucht,Lohmann brown NA,114,798,121.99,1831,279.91,3.05,0.55,0.79
26,Lohmann tierzucht,Lohmann brown NA,114,798,121.79,1843,281.28,3.04,0.55,0.79
27,Lohmann tierzucht,Lohmann brown NA,114,798,121.68,1850,282.08,3.04,0.55,0.79
28,Lohmann tierzucht,Lohmann brown NA,114,798,121.6,1855,282.66,3.04,0.55,0.79
29,Lohmann tierzucht,Lohmann brown NA,114,798,121.53,1859,283.11,3.04,0.55,0.79
30,Lohmann tierzucht,Lohmann brown NA,114,798,121.46,1863,283.57,3.04,0.55,0.79
31,Lohmann tierzucht,Lohmann brown NA,114,798,121.42,1866,283.91,3.04,0.55,0.79
32,Lohmann tierzucht,Lohmann brown NA,115,805,122.43,1869,284.25,3.06,0.55,0.8
33,Lohmann tierzucht,Lohmann brown NA,115,805,122.38,1872,284.6,3.06,0.55,0.8
34,Lohmann tierzucht,Lohmann brown NA,115,805,122.33,1875,284.94,3.06,0.55,0.8
35,Lohmann tierzucht,Lohmann brown NA,115,805,122.28,1878,285.28,3.06,0.55,0.79
1,Lohmann tierzucht,Lohmann sandy,10,70,23.79,75,25.49,0.25,0.11,0.18
2,Lohmann tierzucht,Lohmann sandy,17,119,35.45,127,37.83,0.37,0.17,0.27
3,Lohmann tierzucht,Lohmann sandy,23,161,43.36,190,51.18,0.46,0.21,0.33
4,Lohmann tierzucht,Lohmann sandy,29,203,50.03,271,66.79,0.5,0.23,0.35
5,Lohmann tierzucht,Lohmann sandy,35,245,56.44,355,81.78,0.56,0.25,0.4
6,Lohmann tierzucht,Lohmann sandy,39,273,59.21,452,98.03,0.59,0.27,0.41
7,Lohmann tierzucht,Lohmann sandy,43,301,61.93,558,114.81,0.62,0.28,0.43
8,Lohmann tierzucht,Lohmann sandy,47,329,64.96,658,129.92,0.65,0.29,0.45
9,Lohmann tierzucht,Lohmann sandy,51,357,68.04,758,144.46,0.61,0.25,0.39
10,Lohmann tierzucht,Lohmann sandy,55,385,71.24,853,157.84,0.64,0.26,0.41
11,Lohmann tierzucht,Lohmann sandy,59,413,74.69,935,169.09,0.67,0.28,0.43
12,Lohmann tierzucht,Lohmann sandy,62,434,77,1009,179.03,0.69,0.28,0.45
13,Lohmann tierzucht,Lohmann sandy,65,455,79.52,1072,187.35,0.72,0.29,0.46
14,Lohmann tierzucht,Lohmann sandy,68,476,82.1,1130,194.9,0.74,0.3,0.48
15,Lohmann tierzucht,Lohmann sandy,71,497,84.74,1183,201.72,0.76,0.31,0.49
16,Lohmann tierzucht,Lohmann sandy,74,518,87.47,1230,207.7,0.79,0.32,0.51
17,Lohmann tierzucht,Lohmann sandy,77,539,90.11,1280,214,0.81,0.33,0.52
18,Lohmann tierzucht,Lohmann sandy,80,560,92.68,1333,220.61,1.85,0.42,0.6
19,Lohmann tierzucht,Lohmann sandy,84,588,96.23,1394,228.14,1.92,0.43,0.63
20,Lohmann tierzucht,Lohmann sandy,100,742,119.43,1490,239.82,2.39,0.54,0.78
21,Lohmann tierzucht,Lohmann sandy,106,742,118.22,1552,247.27,2.36,0.53,0.77
22,Lohmann tierzucht,Lohmann sandy,110,770,121.52,1612,254.4,2.43,0.55,0.79
23,Lohmann tierzucht,Lohmann sandy,113,791,123.87,1663,260.42,2.48,0.56,0.81
24,Lohmann tierzucht,Lohmann sandy,114,798,124.2,1704,265.22,2.48,0.56,0.81
25,Lohmann tierzucht,Lohmann sandy,114,798,123.59,1738,269.18,2.47,0.56,0.8
26,Lohmann tierzucht,Lohmann sandy,114,798,123.08,1767,272.54,2.46,0.55,0.8
27,Lohmann tierzucht,Lohmann sandy,114,798,122.67,1791,275.31,2.45,0.55,0.8
28,Lohmann tierzucht,Lohmann sandy,114,798,122.34,1810,277.5,2.45,0.55,0.8
29,Lohmann tierzucht,Lohmann sandy,114,798,122.11,1824,279.11,2.44,0.55,0.79
30,Lohmann tierzucht,Lohmann sandy,114,798,121.93,1835,280.37,2.44,0.55,0.79
31,Lohmann tierzucht,Lohmann sandy,115,805,122.89,1841,281.05,2.46,0.55,0.8
32,Lohmann tierzucht,Lohmann sandy,115,805,122.83,1845,281.51,2.46,0.55,0.8
33,Lohmann tierzucht,Lohmann sandy,115,805,122.78,1848,281.86,2.46,0.55,0.8
34,Lohmann tierzucht,Lohmann sandy,115,805,122.73,1851,282.2,2.45,0.55,0.8
35,Lohmann tierzucht,Lohmann sandy,105,735,112.01,1854,282.54,2.24,0.5,0.73
1,Lohmann tierzucht,Lohmann silver,10,70,23.79,75,25.49,0.25,0.11,0.18
2,Lohmann tierzucht,Lohmann silver,18,126,37.32,130,38.5,0.39,0.18,0.28
3,Lohmann tierzucht,Lohmann silver,24,168,44.67,200,53.18,0.47,0.21,0.34
4,Lohmann tierzucht,Lohmann silver,30,210,51.34,280,68.45,0.51,0.23,0.36
5,Lohmann tierzucht,Lohmann silver,35,245,55.86,370,84.36,0.56,0.25,0.39
6,Lohmann tierzucht,Lohmann silver,40,280,59.82,480,102.55,0.6,0.27,0.42
7,Lohmann tierzucht,Lohmann silver,44,308,62.63,585,118.95,0.63,0.28,0.44
8,Lohmann tierzucht,Lohmann silver,52,364,71.02,690,134.63,0.71,0.32,0.5
9,Lohmann tierzucht,Lohmann silver,56,392,73.94,790,149.01,0.67,0.27,0.43
10,Lohmann tierzucht,Lohmann silver,60,420,76.9,890,162.95,0.69,0.28,0.45
11,Lohmann tierzucht,Lohmann silver,66,462,82.57,980,175.15,0.74,0.31,0.48
12,Lohmann tierzucht,Lohmann silver,69,483,84.35,1075,187.74,0.76,0.31,0.49
